author,autism,coords_from,country,id,label,lang,location,measl,mood,mump,published_at,response_id,retweeted_id,state,text,vaccin,vax,vaxin,x,y,zip
JLind78517204 (jl),0,,,564283451487309825,1,en,,0,0,0,2015-02-08 04:43:53 UTC,564281247124295682,,,"@THRiiiVE Back in the day, rich whites vaxxed to avoid ghetto disease. Now they avoid vaxx to distinguish themselves.",0,1,0,,,
LandscaeCCp (LCC),0,location,us,564313483941249024,-1,en,Colorado,1,-3,0,2015-02-08 06:43:13 UTC,,563300443888308224,co,RT @FucoidanReviews: 15 Syrian children dead following UN measles vaccination campaign — RT News http://t.co/6oYr26BObt,1,0,0,-105.550964,38.997921,
AlmightyZarlak (Tom),0,location,au,564354671997775872,1,en,"Sydney, Australia",0,0,0,2015-02-08 09:26:53 UTC,,,nsw,Revoke the license of any doctor who opposes vaccination http://t.co/kruD3R8X1K,1,0,0,151.206955,-33.869629,
HeidiVoight (Heidi Voight),0,location,us,564401490903982080,0,en,"West Hartford, Connecticut ",0,1,0,2015-02-08 12:32:56 UTC,,529665665045893120,ct,"RT @AllergyKidsDoc: Actual discussion: Parent ""I want #Ebola vaccine for my child"" Doc ""There isn't one, but we have #flushot"" Parent ""We d…",1,0,0,-72.744429,41.75877,06107
BachelorTSW (Peter Bunting),0,location,gb,564408313866362885,1,en,London,0,1,0,2015-02-08 13:00:02 UTC,,564176290027016192,eng,RT @thinkingautism: Big ol' FYI: Much of the current anti-vaccine misinformation is funded by a handful of wealthy people. @LBRBautism: htt…,1,0,0,-0.127144,51.506325,sw1a 2
KellydelaRocha (Kelly de la Rocha),0,,,564416918837547009,1,en,,1,0,0,2015-02-08 13:34:14 UTC,,,,Check out what local schools have the highest # of kids w/no measles vaccine. via @DailyMoore http://t.co/rCZ4973b84 #dgazette,1,0,0,,,
CTFCN (CT FaithCommunityRNs),0,location,us,564424221770518528,1,en,Connecticut,1,-1,0,2015-02-08 14:03:15 UTC,,562320458541195265,ct,"RT @CourtHolmes: Roald Dahl supported #measles #vaccination, his personal story of losing his daughter to measles.  http://t.co/5iRKq27bPA",1,0,0,-72.75753,41.515476,
NBA_KingsFans (SacramentoKingsFans),0,,,564428324559003650,1,en,,0,-1,0,2015-02-08 14:19:33 UTC,,,,#Spotlight CDC Chief to Vaccine Worriers: Ignore the Internet Myths - http://t.co/3bGoVfeFOM http://t.co/T7EwbBdcsE,1,0,0,,,
don_t_tread (DT),0,location,ng,564432640766263296,1,en,USSA,0,-3,0,2015-02-08 14:36:42 UTC,,,,"Anti-vaccine madness is due to Alex Jones, Jenny McCarthy, etc. Medical exemptions only, not philosophical. #fns http://t.co/yOKc55pCVk",1,0,0,9.956335,6.890855,
JustBarry (JustBarry),0,location,us,564445396718866432,0,en,AL,1,0,0,2015-02-08 15:27:24 UTC,,,al,Measles Outbreak Reaction: 'Abolish Philosophical Vaccination Exemptions': http://t.co/2x7gA6TQhF via @YouTube,1,0,0,-86.680737,32.61436,
VBeast265 (Vernon Bradley),0,,,564457906817761281,1,en,Minnesota    Banshee                                              The Land of 10.000 Lakes,1,-1,0,2015-02-08 16:17:06 UTC,,564454869650911232,,RT @GuardianUS: Why we need high vaccination rates to fight measles http://t.co/qxRnQf6q6K http://t.co/2ZzozRargL,1,0,0,,,
k955news (k955news),0,,,564463304244875264,1,en,,0,-2,0,2015-02-08 16:38:33 UTC,,,,Vaccine expert explains threat of anti-vaxx population http://t.co/l4RCkiWzDo,1,0,0,,,
alanfranklin (Alan Franklin),0,,,564465947239403520,1,en,,0,0,0,2015-02-08 16:49:03 UTC,,,,So that's why @jpmeyerDPost was following the anti-vax freakshow in Senate Education Thursday: http://t.co/AQUiTyDYrT #copolitics #coleg,0,1,0,,,
lovemyboobs (Julie Atherton),0,location,us,564467375727058947,1,en,"San Francisco, CA",0,0,0,2015-02-08 16:54:44 UTC,,564466751942164480,ca,RT @nytimes: The dangers of vaccine denial http://t.co/2uMOmO9ArV via @nytopinion,1,0,0,-122.419644,37.777125,94102
jackcolleton (jackie colleton),0,,,564469858545709056,-1,en,,1,0,0,2015-02-08 17:04:36 UTC,,563777347644833792,,"RT @VaccineFreeNYC: Ebola, Measles, 'Is there a Vaccine for PROPOGANDA?"" https://t.co/QSkXRsmFNw ~ #CDCWhistleblower, @Mofmars333 @forcedan…",1,0,0,,,
loxisnice (dlox),0,,,564481500331012097,0,en,,0,0,0,2015-02-08 17:50:51 UTC,,564479571102150656,,RT @Jerome09: ‘A mass sterilization exercise’: Kenyan doctors find anti-fertility agent in UN tetanus vaccine | News | LifeSite http://t.co…,1,0,0,,,
christoferguson (Ferg),0,location,us,564494299308752898,-1,en,"St. Louis, Missouri",0,1,0,2015-02-08 18:41:43 UTC,,,mo,"Other groups may touch on anti-vaxx but just look at main sites pushing it to know who - ""Natural"" health sites &amp; Infowars Tinfoil hat sites",0,0,0,-90.199514,38.62774,63103
chichenpizza (Jessa Lynch),0,,,564496285966008321,1,en,,0,3,0,2015-02-08 18:49:37 UTC,,564491772898725889,,RT @Gromit1996: Excellent! RT @Pogue: “I’m an Anti-Braker.” The funniest commentary yet on the anti-vaccination movement. http://t.co/S6pe3…,1,0,0,,,
clarkeching (clarke ching »»),1,location,gb,564497281316306944,-1,en,"linlithgow, scotland",0,1,0,2015-02-08 18:53:34 UTC,,564271079485878272,sct,"RT @The_Gilded_1: There really are pet anti-vaxers.Makes sense,because god forbid you give your cat a shot,it gets autism &amp; acts even more …",0,0,0,-3.602564,55.97657,eh49 7
librewausau (Operation Check Pt),1,location,us,564503495135330304,1,en,Wausau,0,-3,0,2015-02-08 19:18:15 UTC,,564501378534342656,fl,RT @ReverbPress: @andersoncooper DESTROYS Former #GOP Congressman Over Bogus Vaccine-Autism Link (VID) http://t.co/NWze0ayklb http://t.co/M…,1,0,0,-85.588779,30.631905,32428
erwyzz (erwyzz),0,location,us,564517809703911426,1,en,northern Virginia USA,0,0,0,2015-02-08 20:15:08 UTC,,,va,Vaccination isn’t a private choice--it is a civic obligation - Kristof http://t.co/7Wr1mypnQD,1,0,0,-77.497059,38.91255,
RebelKnight50 (Rebel Knight),0,,,564534141970968576,-1,en,,0,0,0,2015-02-08 21:20:02 UTC,,564515798937370624,,"RT @doritmi: Vaccine Injuries from The MMR, A Review of VAERS http://t.co/l7fWS41ks1 via @ThePoxesStory",1,0,0,,,
ShebaAJ (Sheba AJ),0,location,nl,564541751256702976,1,en,Netherlands,1,0,0,2015-02-08 21:50:16 UTC,,564290670337458176,,RT @greenhousenyt: !!! The measles vaccination rate in the U.S. was 91% in 2013--lower than in Zimbabwe or Bangladesh.   @NickKristof http:…,1,0,0,5.29297,52.152355,
Scarletpain78 (LeAngelo Barnes),0,location,us,564545190867009540,0,en,"Reynoldsburg, OH 43068",0,-2,0,2015-02-08 22:03:56 UTC,,564540753184292864,oh,RT @610wtvnnews: Do you have a right to refuse a vaccine for your child? That and more on today's #VTShow... https://t.co/MDvmBJEacO,1,0,0,-82.805629,39.955205,43068
ForgottenProf (Chris Franklin),0,,,564548222652121088,1,en,,1,-1,0,2015-02-08 22:15:59 UTC,,564538667994456064,,RT @SL_Schaeffer: #CultureofAlarmism “@chuckwoolery: There is no #vaccine against the ignorance or the ability for the #Left to lead in #me…,1,0,0,,,
psufka (Dr. Paul Sufka),0,location,us,564551592276262912,1,en,"Twin Cities, MN",1,-3,0,2015-02-08 22:29:23 UTC,,563457208805883904,mn,"RT @CDCgov: Unsure of your measles vax status? Talk w/ Dr. If you can’t find records of immunity, another vax won’t harm you. http://t.co/1…",0,1,0,-93.365864,46.442316,
autismepi (Annabelle Lee),0,twitter,us,564557268587675648,0,en,,0,-2,0,2015-02-08 22:51:56 UTC,,,ma,"Historically, mandatory vax proposals drove resistors underground and deepened divide betw pro &amp; anti http://t.co/ne3BJxhS2u",0,1,0,-71.0887545,42.3136695,
bus_kanaka (Joel Martin),1,,,564559064068132864,1,en,,0,0,0,2015-02-08 22:59:04 UTC,,564464815448391681,,"RT @SusanSenator: #Vaccines eradicate deadly disease. I am an #autism mom, pro-vaccine and I'm going on TV (2/9 6pm @NECN ) to say it.",1,0,0,,,
worldmedi (World Medical News),0,location,us,564562878154285056,0,en,New York,0,-4,0,2015-02-08 23:14:13 UTC,,,ny,Catch 22: Reducing Vaccine Prices May Cause More Death in Poor Countries http://t.co/HFSvmqokDD #world #health,1,0,0,-74.007124,40.71455,10007
MarcoRubioTNews (Marco Rubio News),0,,,564567880906190850,0,en,,1,0,0,2015-02-08 23:34:06 UTC,,,,Measles vaccine debate becomes hot issue heading ... http://t.co/zf0JI4ouvB,1,0,0,,,
MeanLevee (M.J. Hill),0,location,us,564582734194941955,1,en,"Clovis, New Mexico",0,-2,0,2015-02-09 00:33:07 UTC,,564582559661961216,nm,RT @saramayhew: People who refuse to vaccinate should be fined and that money put into vaccination programs and education. #science,1,0,0,-103.205339,34.40523,88101
LeahBuchholz (Leah Buchholz),0,location,ca,564596667438342145,1,en,Toronto,0,-3,0,2015-02-09 01:28:29 UTC,,563533596775153664,on,"RT @CBCTheNational: VIDEO| Rex Murphy's Point of View: ""Anti-vaccination is intensely selfish.""  http://t.co/GDo29Uqicw http://t.co/j12CtkB…",1,0,0,-79.385324,43.64856,m5h
Vaccinizer (Vaccination Trends),0,,,564598908547252224,1,en,,1,0,0,2015-02-09 01:37:24 UTC,,,,"#BenCarson on measles outbreak, vaccines and #publicsafety #FoxNewsSunday #vaccination http://t.co/nVlrqw5nXY http://t.co/XzKav69BSJ",1,0,0,,,
ABrokenSystem_ (A Broken System Blog),0,,,564621955039780865,1,en,Read. Learn. Reform. ,0,-5,0,2015-02-09 03:08:58 UTC,,,,#RawStory Nutty anti-vaxxers launch insane petition drive asking Obama to ban mandatory vaccinations http://t.co/DkLJ584wiK,1,0,0,,,
CharlesLazelle (charles lazelle),0,location,au,564628392343920640,1,en,melbourne,0,1,0,2015-02-09 03:34:33 UTC,564626881706602496,,vic,@seanbedlam I'm interested you find this subject amusing #hearthiswell Do you do vaccine damage jokes in your set?,1,0,0,144.967148,-37.817532,
kawaiiicth (kiaralise !),0,,,564648785239097345,0,en,,1,0,0,2015-02-09 04:55:35 UTC,,,,measles vaccine           ....................,1,0,0,,,
JosephRUfree (Joseph Areyoufree),1,,,564656343693680640,-1,en,,0,3,0,2015-02-09 05:25:37 UTC,,,,"Court Awards $969,474 for MMR Vaccine Causing Boy’s Autism | World http://t.co/LUksLZ4Cxg http://t.co/NQdbMLp03z",1,0,0,,,
health_google (Google Health News),0,,,564692639535353857,1,en,,1,1,0,2015-02-09 07:49:51 UTC,,,,Sen. Chuck Schumer urges CDC to offer free measles vaccine - New York Daily News http://t.co/2wYgZDm32o #google #health,1,0,0,,,
Keith_Laws (Keith R Laws),0,location,us,564697718875234304,1,en,Prime Meridian,0,2,0,2015-02-09 08:10:02 UTC,,,ca,Interesting piece discussing the anti-vaccination movement as a manifestation of ableism. https://t.co/hE2SV5SErL” via @thus_spake_z,1,0,0,-121.913969,39.145715,95957
McVaccination (Vaccination Infos),0,location,zz,564740935091625984,1,en,World,0,0,0,2015-02-09 11:01:45 UTC,,,,Psychological Biases Play A Part In Vaccination Decisions - NPR (blog) http://t.co/JEIvQDiGKP - #Vaccination #SF,1,0,0,0.0,0.0,
NewsWithViews (NewsWithViews),0,location,us,564757134257422336,-1,en,"Grants Pass, OR",0,1,0,2015-02-09 12:06:08 UTC,,,or,VACCINE SAFETY: WHY MEDIA AND POLITICIANS LIE - http://t.co/KZzZS5vHei http://t.co/bSN14rIUzS,1,0,0,-123.324639,42.44321,97526
bulldoglu (L.L. Bulldawg),0,,,564766744108347392,1,en,,1,0,0,2015-02-09 12:44:19 UTC,,564762252688252928,,RT @Eurovaccine: It is a common misperception that #measles is a harmless disease. Address misconceptions on measles vaccination http://t.c…,1,0,0,,,
FlynnZito (Doug Flynn CFP® ChFC),0,location,us,564767123827097601,1,en,New York,0,0,0,2015-02-09 12:45:49 UTC,,,ny,@CNBC @BeckyQuick @joekernen @andrewrsorkin  Is it a light news day today? That vaccination interview was tortuously torturous.,1,0,0,-74.007124,40.71455,10007
medicalmyths (Jansu),0,,,564773483465281537,1,en,,0,-2,0,2015-02-09 13:11:06 UTC,,,,Other views: Politicians peddle vaccine nonsense - The Daily Advertiser http://t.co/JmvQ9sKZYM,1,0,0,,,
Hokiewellness (Hokiewellness),0,location,us,564785987998330880,1,en,"Blacksburg, VA",0,2,0,2015-02-09 14:00:47 UTC,,,va,Recommended Elderly Vaccine - http://t.co/kl0GqaLdmt http://t.co/eTiNgK3JtP,1,0,0,-80.410583,37.226261,
peddoc63 (Feisty☀️Floridian),0,,,564786374357045248,1,en,,0,0,0,2015-02-09 14:02:19 UTC,564785760990019584,,,@makeliberalscry @Montel_Williams The facts are out there about the disease &amp; vaccine. Do your own research. Its scientific facts!,1,0,0,,,
bradlerner (Brad Lerner),1,location,us,564788436083560450,-1,en,Virginia Beach,0,0,0,2015-02-09 14:10:31 UTC,,,va,"Autism Speaks, leading autism advocate, urges vaccination http://t.co/U4jnDng14Z",1,0,0,-76.059204,36.75502,23456
Viral_Load (The Viral Load),0,,,564792341412978688,1,en,,0,-4,0,2015-02-09 14:26:02 UTC,,,,Damn that Mr. Vaccine being so right! http://t.co/5BG92FJfI1 #Viral #Stories,1,0,0,,,
vslimy (yoona),0,,,564793505218703360,0,en,wearesm.favor,0,0,0,2015-02-09 14:30:39 UTC,,,,"Twists, turns, eventually lead to promising Ebola vaccine http://t.co/yRQkyxTghE",1,0,0,,,
photothiel (Scott Thiel),0,location,ca,564798450945257474,1,en,"Ottawa, Canada",0,2,0,2015-02-09 14:50:18 UTC,,564791574249603072,on,RT @ottawahealth: @MKutney Our message is: Vaccines are effective and have reduced and even eliminated many diseases. Vaccination saves liv…,1,0,0,-75.691184,45.42178,k1p
atul190252 (Atul Singh ),0,,,564819511065321474,0,en,,0,-3,0,2015-02-09 16:13:59 UTC,,562416681260027904,,RT @TheTweetOfGod: There's no vaccine against stupid.,1,0,0,,,
CoutureDonna (Donna ),0,,,564821689209729024,-1,en,Welcome To The Insane Asylum,0,-5,0,2015-02-09 16:22:39 UTC,,,,Merck senior management tried to pay off its own vaccine scientists to remain silent about scientific fraud http://t.co/qsIsGQyLFG,1,0,0,,,
ImmunizedotCa (Immunize Canada),0,location,ca,564822036808499200,1,en,Canada,1,3,0,2015-02-09 16:24:02 UTC,,564816050584563713,,RT @EOHU_tweet: DYK what #measles looks like? Measles vaccine protects you and your family. http://t.co/Jc4zgXDowG RT @phac_gc,1,0,0,-96.811451,62.395819,
LindaHumphries (Dr Linda Humphries),0,location,us,564822639936806912,1,en,"Tallahassee, FL",0,1,0,2015-02-09 16:26:25 UTC,,,fl,STUDY: HPV Vaccine Does Not Increase Unsafe Sex for Girls. #Tallahassee #Sex #Therapy http://t.co/b5qgXospCh,1,0,0,-84.280649,30.439775,32301
TheDailyDigest (The Editor),0,,,564854898416574465,-1,en,,0,0,1,2015-02-09 18:34:36 UTC,,,,Dr. Julie Gerberding oversaw historic mumps vaccine fraud cover-up http://t.co/trMdBj9zTX,1,0,0,,,
chronmason (Don Mason),0,location,us,564870005356244992,1,en,Houston,1,2,0,2015-02-09 19:34:38 UTC,,,tx,Dems and Reps agree! Nearly nine in 10 say measles vaccine is safe. http://t.co/5dmI80J8Xi http://t.co/0ZWufMMbUt,1,0,0,-95.369784,29.76045,77002
dolores_flores (Dolores Flores),0,location,ca,564872832535265280,-1,en,"Toronto, ON, Canada",0,-6,0,2015-02-09 19:45:52 UTC,,564845261696950273,on,RT @luckykelsey: Boycott @Autism_Today! They only care about autistic kids who didn't get it from a vaccine. How cruel and deceitful. http:…,1,0,0,-79.385324,43.64856,m5h
SuisRiRi (Richard Miller),0,,,564877397715992577,0,en,"Windypeg, MB",0,-1,0,2015-02-09 20:04:01 UTC,,564855999040065536,,RT @BibleReloaded: CANCER VACCINES??!!?!!?  http://t.co/JtT8WeBLiB,1,0,0,,,
luckykelsey (Kelsey),0,,,564888613364977664,-1,en,,0,-2,0,2015-02-09 20:48:35 UTC,,564887171937878017,,RT @glutenfree123: Why does his life have any less value than yours? Vaccine injury is real. http://t.co/wgn3iNOWHY,1,0,0,,,
medtechonomics (Dimitrios Chasiouras),0,,,564910884599111680,1,en,,0,0,0,2015-02-09 22:17:05 UTC,,564532403645853696,,RT @cnnireport: Parents get personal with anti-vaxxers: http://t.co/umFWFyc6uz http://t.co/WsOJ6GzLTs,0,0,0,,,
BillGraveland (Bill Graveland),0,location,ca,564921010495832064,0,en,"Calgary, Canada",0,0,0,2015-02-09 22:57:19 UTC,564916327014350849,,ab,“@T_Cook: Canadian researchers working on pig virus vaccine http://t.co/zVNTTa0anD”,1,0,0,-114.063014,51.04522,t2g
aussiejq (Jennifer Quilkey),0,location,us,564925065708310528,1,en,san diego ,0,0,0,2015-02-09 23:13:26 UTC,,564921863756079104,ca,"RT @business: Libya, Zimbabwe and 108 other countries beat America when it comes to child vaccination rates http://t.co/edm7reOPzF http://t…",1,0,0,-117.161719,32.715695,92101
whitefaines (Adrienne White),0,,,564927266443255809,1,en,,0,3,1,2015-02-09 23:22:10 UTC,,564870052579913729,,"RT @AOAforMedia: Great article from @USNewsHealth @leonardkl on MMR vaccine and mumps with Stanley Grogg, DO. @AOAforDOs  http://t.co/XVJ2G…",1,0,0,,,
mevansnh (mevansnh),0,location,us,564944327634587648,1,en,"Warner, NH",1,1,1,2015-02-10 00:29:58 UTC,,564937205391429633,nh,"RT @s_rsantorini630: Instead of vaccinations, #JoniErnst recommends bread bags to prevent Measles, Mumps and Ebola. http://t.co/9OUpQFaJFu",1,0,0,-71.81256,43.278935,03278
NedFL (Ned James),0,location,us,564957838481846272,1,en,"Jacksonville, FL",0,0,0,2015-02-10 01:23:39 UTC,564957589922775041,,fl,@ElinSilveous @mcraegj @TheSocialCMO @DomGarrett You are seeing the rise of the engaged patient. Look at vax debate #mmchat,0,1,0,-81.656219,30.33147,32202
Pygmystoldt (Melissa Stoldt),0,,,564972638179561472,1,en,,0,0,0,2015-02-10 02:22:28 UTC,,536972379508191232,,RT @mpigliucci: Colbert on the hipster appeal of the anti-vaxx movement. http://t.co/J9fy7jnOnM,0,0,0,,,
riibvi (Rita Ibarra),0,,,564983808491921408,1,es,,0,0,0,2015-02-10 03:06:51 UTC,,564144007643533313,,RT @joseserna2349: Medical experts rebuke Republican politicians hyping vaccination concerns http://t.co/zskpDIY7BC @EspuelasVox @SpeakerBo…,0,0,0,,,
Cheenko_Lee (BOLARINWA),0,location,be,564988385807597568,1,en,The best place to be,0,1,0,2015-02-10 03:25:02 UTC,,,,"EBOLA OUTBREAK: After Much Set Backs, There's Finally A Promising Ebola Vaccine [MUST READ]&gt;&gt;&gt; http://t.co/GHcWln3RuG",1,0,0,4.47677,50.50099,
SpEdTeach_6 (Jennifer Carney),0,location,us,564988386973188096,1,en,"Houston, TX",0,0,0,2015-02-10 03:25:03 UTC,,,tx,The HPV vaccine - a virus speaks - Small But Kinda Mighty via @OMum22  http://t.co/76PHEPts1v,1,0,0,-95.369784,29.76045,77002
shareebolanews (Susan D),0,location,us,565016495919734784,0,en,Las Vegas,0,1,0,2015-02-10 05:16:44 UTC,,,nv,http://t.co/cYfaV7lOqG -  Expert: NewLink Ebola vaccine has promise    #FightEbola,0,0,0,-115.139974,36.171915,89101
Koran_Inggris (Worldwide News ),0,,,565023507357003776,0,en,Worldwide,0,0,0,2015-02-10 05:44:36 UTC,,,,Ebola outbreak: vaccine trial starts after years of twists and turns http://t.co/h6MgQq7MdE,1,0,0,,,
"PiscesintheRain (Pisces, Drownèd)",0,,,565026227019587584,-1,en,,0,-1,0,2015-02-10 05:55:24 UTC,,564950011297816576,,"RT @DrJaneChi: ""Like vaccination,abortion is a victim of its own success. An entire generation has grown up unaware"" http://t.co/D3YIaDkkqv…",1,0,0,,,
Hitmusic007 (HitMusic),0,,,565047549560881152,0,en,,0,0,0,2015-02-10 07:20:08 UTC,,,,"EBOLA OUTBREAK: Ebola Vaccine Trials Begin In Liberia, While Ebola Drug Treatment Testing Is Halted&gt;&gt;&gt; http://t.co/bPnWIGKJfg",1,0,0,,,
danielsemel (Daniel Semel),0,location,us,565052891585445889,1,en,"Los Angeles, CA",0,-3,0,2015-02-10 07:41:22 UTC,,,ca,10 anti-vaccine celebs who should come with a surgeon general’s warning http://t.co/Wk2znGN4Bg via @nypost,1,0,0,-118.245319,34.05349,90012
dreamsofgaaih (Ravynne M. Phelan),0,location,au,565076783360638976,0,en,Sydney,0,0,0,2015-02-10 09:16:18 UTC,,,nsw,Human mode of responding to HIV vaccine is conserved from monkeys http://t.co/SW3dM3rQ0H,1,0,0,151.206955,-33.869629,
afya_kenya (Afya Kenya),0,location,ke,565102464894902274,1,en,"Nairobi, Eldoret, Kenya",0,0,0,2015-02-10 10:58:21 UTC,,,,"#MedicalStudy Study finds no link between HPV vaccination and increase in STIs: In a new study, pub... http://t.co/SMB9vYjXUZ #AfyaKenya",1,0,0,35.28526,0.515145,
Bid13OK (David Dude),0,location,us,565130087301795841,1,en,Oklahoma,0,0,0,2015-02-10 12:48:07 UTC,,,ok,HPV Vaccine Not Tied to More STDs | dailyRx http://t.co/CIwhjpJOTX,1,0,0,-98.717007,35.309139,
ladanum (Βασίλης Παπουτσάκης),0,,,565135706905780226,0,el,Sises Rethimnon Crete,0,3,0,2015-02-10 13:10:26 UTC,,,,A Beautiful Wallpaper Made With Smallpox Vaccine https://t.co/E8W3Sb6iVX http://t.co/4bqzO7v35X,0,0,0,,,
luckykelsey (Kelsey),1,,,565141469661761536,-1,en,,0,-1,0,2015-02-10 13:33:20 UTC,,565140725327990785,,RT @RockNHot1: CDC Whistle Blower admits MMR Vaccine causes Autism: http://t.co/0cfpMvPM4u  #cdcwhistleblower #blacklivesmatter #MyBodyMyCh…,1,0,0,,,
PinkPurkinje (P!nk Purk!nje),0,location,us,565145219482787840,-1,en,Southwest USA,1,0,0,2015-02-10 13:48:14 UTC,,,pa,What’s In The Measles Vaccine? http://t.co/pyKlOFkbFX,1,0,0,-79.522041,40.200298,15685
rohutch (Rohan Hutchings),0,location,us,565161727638384640,1,en,Chicago,0,1,0,2015-02-10 14:53:50 UTC,,,il,"Dear anti-vax parents: We’re not mad at you. Sincerely, your doctor. http://t.co/0OJKEuJ3A5",0,1,0,-87.632409,41.88415,60602
flew72 (Toni Lew),0,location,de,565178202385940481,0,en,"Bavaria, Germany",0,-3,0,2015-02-10 15:59:18 UTC,,,by,NIAID Study of VSV Ebola Vaccine Shows No Transmission Threat to Livestock http://t.co/zgpOwWosML,1,0,0,11.407995,48.917194,
OmicsOmicsBlog (Keith Robison),0,location,us,565178373950152704,1,en,Cambridge MA,0,0,0,2015-02-10 15:59:59 UTC,,565160277550039040,ma,RT @ArthurCaplan: Are u surprised?  HPV vaccine not lined to promiscuity  http://t.co/E1bYu41Da8  #HPV #vaccinations #vaccineswork #Vaccina…,1,0,0,-71.106019,42.36679,02139
LowesRobert (Robert Lowes),0,location,us,565187766493794304,1,en,"St. Louis, MO",1,0,0,2015-02-10 16:37:18 UTC,,,mo,Anti-vax kid's book about measles gets scathing reviews on Amazon http://t.co/2oNRD1tgHp More on the outbreak http://t.co/VAbV3skvoI,0,1,0,-90.199514,38.62774,63103
ItsCoryWeston (Cory Meets World),0,location,us,565198045759815681,1,en,USA ,1,-1,0,2015-02-10 17:18:09 UTC,,564806630463000576,,RT @virginiahughes: The measles vaccine prevents an estimated 1.4 million deaths a year http://t.co/9sSAaqjtbP,1,0,0,-98.58,39.83,
scheper_ron (Ron Scheper),0,location,th,565199953299902464,0,en,Bangkok,0,-6,0,2015-02-10 17:25:44 UTC,,565184938061094913,,RT @mdj17: Whooping Cough Epidemic Stresses Vaccine Limit OPEN BORDERS BRINGS BACK 'DEAD' DISEASES OBAMA DESTROYING AMERICA  http://t.co/LE…,1,0,0,100.504822,13.75333,
LaLaRueFrench75 (Laura LaRue),0,,,565204848367243264,-1,en,www.lauralarue.com,0,-2,0,2015-02-10 17:45:11 UTC,565164635066605568,,,"@OccuCorporatism ""US &amp; UK withholding vax data &amp; severe adverse reactions from both parents &amp; health practitioners"" http://t.co/YUMkp1lmKZ",0,1,0,,,
"vmontori (Victor Montori, MD)",0,,,565209156311711744,0,en,,0,2,0,2015-02-10 18:02:18 UTC,565207598836641792,,,@SAEMEBM @WUSTL_EM @WUSTLmed @SAEMonline @ErikHessMD @kennylinafp @The_Alan_Alda logic of vax is NOT logic of clinical care and SDM,0,1,0,,,
16kellie (Kellie16),0,,,565216691429199872,-1,en,,0,0,0,2015-02-10 18:32:15 UTC,,565213783879348224,,RT @BooksByTara: @SenAlexander TROUBLING can not sue for an unsafe vaccine injection  #CDCwhistleblower cause government is protecting comp…,1,0,0,,,
lphanlon84 (Liam Hanlon),1,,,565217743226826753,-1,en-gb,,0,-3,0,2015-02-10 18:36:25 UTC,,,,#Italian Ministry of Health pays out compensation on a #Vaccine that gave a child #Autism and brain damage http://t.co/mK2GLY1iny,1,0,0,,,
SunTimesLAS (Las Vegas),0,,,565223798383714304,0,en,,1,2,0,2015-02-10 19:00:29 UTC,,,,This is what the #measles vaccination rate by state looks like visualized -- http://t.co/enwAglESZl http://t.co/sGGTHzZdZd,1,0,0,,,
taniaf77 (Tania Harding),0,location,us,565225393079455745,1,en,Portsmouth,1,-2,0,2015-02-10 19:06:49 UTC,,565223130126229504,ia,RT @13SciDave: Unfounded vaccine myths harm measles herd immunity - From New Scientist:  http://t.co/O4JK3vlwD6,1,0,0,-95.518747,41.647777,51565
devilSwirl (Q C.),0,,,565234765486641152,-1,en,,0,2,0,2015-02-10 19:44:04 UTC,,,,The whole anti-vaccination thing is unreal to me. Like really if you willingly endanger your child and other children you're garbage.,1,0,0,,,
sophiahelix (Sophia),0,location,us,565258028078071808,1,en,Bay Area,0,-2,0,2015-02-10 21:16:30 UTC,,565230556959735810,ca,RT @lakeline: Why Vaccination Refusal Is a White Privilege Problem http://t.co/bI1n6sIjHb,1,0,0,-122.370941,37.878695,
ladywhitepeace1 ( Ladywhitepeace),0,location,au,565259576711589888,-1,en,Sydney Australia,1,-5,0,2015-02-10 21:22:39 UTC,564189362397904896,,nsw,"“@ForbesTech: The anti-vaccine movement has caused the worst measles outbreak in 20 years: http://t.co/zaRMf1kPkB” ""That is misinformation!""",1,0,0,151.206955,-33.869629,
CoffeeCup__ (Coffee Cup),0,location,us,565266147772469248,0,en,Earth,0,-5,0,2015-02-10 21:48:46 UTC,,,tx,UPDATE 1-Valeant appears poised to buy bankrupt vaccine maker Dendreon -sources: Feb 10 (Reuters) - Valeant Ph... http://t.co/ErG6xeKiuP,1,0,0,-102.410204,34.232945,79031
Adam_Stirling (Adam Stirling),0,location,ca,565268971470217216,-1,en,"Victoria, B.C.",0,0,0,2015-02-10 21:59:59 UTC,565268878042103808,,bc,@apukwa I'd expect vaccination rates to actually fall.,1,0,0,-123.364514,48.428315,v8w
globalnews (Globalnews.ca),0,,,565274250362499073,-1,en,,1,0,0,2015-02-10 22:20:58 UTC,,,,Photo: Infographic: Has the anti-vaccination medical debate got you wondering what goes into the measles... http://t.co/xWTV4Eq2iy,1,0,0,,,
tgoodwin522 (Tracy Goodwin),0,,,565274390930411521,1,en,,0,2,0,2015-02-10 22:21:31 UTC,,565271780001345537,,"RT @AGoodwin522: Read, understand and then go give our children a chance. We're not mad......http://t.co/QmcM9ABDeq #getvaccinated #vaccine…",0,0,0,,,
pharma_global (Global Pharma News),0,location,de,565281343962349568,1,de,Germany / Europe,0,-2,0,2015-02-10 22:49:09 UTC,,,,Rona Ambrose says anti-vaccine movement puts children at risk - CBC.ca http://t.co/LUP56h1rky,0,0,0,10.454145,51.164175,
